Page,Section,Component,Media Type,Config Key (lib/media.ts),Source URL,Alt Text,Description/Purpose,Dimensions/Notes
Home (Gateway),Background,page.tsx,Video,MEDIA_VIDEO,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/Website%20Background%20video-0ni3M91lKRRjvhQWMOe93j9gx7Pvbj.mp4,,Full-screen autoplay background video with dark overlay,Poster fallback: /placeholder.jpg
Home (Gateway),Logo,page.tsx,Image (PNG),MEDIA_LOGO,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/Camping%20Nigeria%20Logo%20-4Afjc35DawMRahQENzyiYcdmyAP92k.png,Camping Nigeria,Main logo displayed at top center,200x100 (displayed h-24)
Layout,Navbar,Navbar.tsx,Image (PNG),MEDIA_LOGO,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/Camping%20Nigeria%20Logo%20-4Afjc35DawMRahQENzyiYcdmyAP92k.png,Camping Nigeria,Navigation bar logo (all pages),120x60 (displayed h-12)
Layout,Footer,Footer.tsx,Image (PNG),MEDIA_LOGO,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/Camping%20Nigeria%20Logo%20-4Afjc35DawMRahQENzyiYcdmyAP92k.png,Camping Nigeria,Footer logo (all pages),140x70 (displayed h-14)
Schools,Hero,Hero.tsx,Image (Unsplash),SCHOOLS_HERO,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=1800&q=85&fit=crop,Students gathered around a campfire during an outdoor learning expedition,Hero section background with parallax animation,Fill (full width)
Schools,Why Outdoor Learning,WhyOutdoorLearning.tsx,Image (Unsplash),SCHOOLS_WHY_OUTDOOR_LEARNING,https://images.unsplash.com/photo-1509062522246-3755977927d7?w=900&q=80,Students engaged in focused outdoor learning and nature reflection,Left column image with accent border offset,900w
Schools,School Programs - Card 1,OurSchoolPrograms.tsx,Image (Unsplash),SCHOOLS_PROGRAMS[0],https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=800&q=80&auto=format&fit=crop,2-Day On-Campus Camps,Program card background with parallax,800w
Schools,School Programs - Card 2,OurSchoolPrograms.tsx,Image (Unsplash),SCHOOLS_PROGRAMS[1],https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800&q=80&auto=format&fit=crop,Eco-Awareness Modules,Program card background with parallax,800w
Schools,School Programs - Card 3,OurSchoolPrograms.tsx,Image (Unsplash),SCHOOLS_PROGRAMS[2],https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800&q=80&auto=format&fit=crop,Leadership Development,Program card background with parallax,800w
Schools,Safety & Supervision,SafetySupervision.tsx,SVG (Inline),N/A (inline SVG),N/A,,Animated decorative wave background,Brand accent color (#e6b325)
Schools,Media Feature,MediaFeature.tsx,Image (Unsplash),SCHOOLS_MEDIA_FEATURE,https://images.unsplash.com/photo-1465188162913-8fb5709d6d57?w=1600&q=80&auto=format&fit=crop,A wide camping landscape at dusk,Full-height parallax background for video section,1600w
Schools,Secondary Audiences - Card 1,SecondaryAudiences.tsx,Image (Unsplash),SCHOOLS_SECONDARY_AUDIENCES[0],https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=800&q=80,Young adults on a camping trip,Card linking to /individuals,800w
Schools,Secondary Audiences - Card 2,SecondaryAudiences.tsx,Image (Unsplash),SCHOOLS_SECONDARY_AUDIENCES[1],https://images.unsplash.com/photo-1517048676732-d65bc937f952?w=800&q=80,Team bonding outdoors,Card linking to /organizations,800w
Schools,Secondary Audiences - Card 3,SecondaryAudiences.tsx,Image (Unsplash),SCHOOLS_SECONDARY_AUDIENCES[2],https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=800&q=80,Premium camping gear laid out,Card linking to /gear-rental,800w
Schools,Final CTA,FinalCta.tsx,Image (Unsplash),SCHOOLS_FINAL_CTA,https://images.unsplash.com/photo-1445308394109-4ec2920981b1?w=1600&q=60,,Background texture at 20% opacity,1600w (decorative)
Individuals,Hero,IndividualsHero.tsx,Image (Unsplash),INDIVIDUALS_HERO,https://images.unsplash.com/photo-1528543606781-2f6e6857f318?w=1800&q=85&fit=crop,Young adults gathered around a campfire in warm evening light,Hero section background,h-[70vh]
Individuals,Expectations - Card 1,Expectations.tsx,Image (Unsplash),INDIVIDUALS_EXPECTATIONS[0],https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=800&q=80,Guide leading a group through a forest trail,Guided camping experiences card,800w
Individuals,Expectations - Card 2,Expectations.tsx,Image (Unsplash),INDIVIDUALS_EXPECTATIONS[1],https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=800&q=80,Verified campsite with tents at dusk,Safe and verified locations card,800w
Individuals,Expectations - Card 3,Expectations.tsx,Image (Unsplash),INDIVIDUALS_EXPECTATIONS[2],https://images.unsplash.com/photo-1537225228614-56cc3556d7ed?w=800&q=80,Quality camping equipment laid out,Equipment provided card,800w
Individuals,Expectations - Card 4,Expectations.tsx,Image (Unsplash),INDIVIDUALS_EXPECTATIONS[3],https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800&q=80,Group following a structured hiking itinerary,Structured itineraries card,800w
Individuals,Expectations - Card 5,Expectations.tsx,Image (Unsplash),INDIVIDUALS_EXPECTATIONS[4],https://images.unsplash.com/photo-1517048676732-d65bc937f952?w=800&q=80,Community of friends gathered outdoors,Community-driven experiences card,800w
